IQ-TREE multicore version 1.6.10 for Windows 64-bit built Feb 19 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    AidanSurface (AVX2, FMA3, 3 GB RAM)
Command: C:\KMA712~1\IQTREE~1.10-\bin\iqtree.exe -s fasta_15.nxs -bb 1000
Seed:    570929 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Apr 26 10:59:28 2019
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file fasta_15.nxs ... Nexus format detected
Skipping unknown block (NOTES)...
Alignment has 16 sequences with 1367 columns, 347 distinct patterns
209 parsimony-informative, 161 singleton sites, 997 constant sites
            Gap/Ambiguity  Composition  p-value
   1  AY429653.1   30.87%    passed     47.65%
   2  AY429652.1   30.50%    passed     49.16%
   3  AY424651.1   10.17%    passed     65.58%
   4  AY424649.1   10.24%    passed     80.10%
   5  AY424650.1   10.10%    passed     68.58%
   6  AY424663.1    9.58%    passed     99.68%
   7  AY424658.1    9.58%    passed     97.97%
   8  KY608941.1   36.06%    passed      6.38%
   9  AY424657.1    9.73%    passed     98.91%
  10  AY424655.1    9.58%    passed     99.33%
  11  AB292070.1    7.32%    passed     15.70%
  12  AB491590.1   30.87%    failed      4.70%
  13  EU371738.1   51.50%    failed      0.09%
  14  AM748311.1    4.75%    passed     19.51%
  15  AY424666.1    4.46%    passed     32.23%
  16  AB539128.1   22.97%    passed     40.07%
WARNING: 1 sequences contain more than 50% gaps/ambiguity
****  TOTAL        18.02%  2 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1367) ...
 No. Model         -LnL         df  AIC          AICc         BIC
262  SYM+I         4251.354     35  8572.709     8574.602     8755.422
263  SYM+G4        4251.420     35  8572.839     8574.733     8755.552
264  SYM+I+G4      4251.571     36  8575.142     8577.145     8763.075
265  SYM+R2        4251.369     36  8574.739     8576.742     8762.672
266  SYM+R3        4251.369     38  8578.739     8580.971     8777.113
274  GTR+F         4252.110     37  8578.220     8580.336     8771.374
275  GTR+F+I       4249.176     38  8574.353     8576.585     8772.727
276  GTR+F+G4      4249.142     38  8574.283     8576.515     8772.657
277  GTR+F+I+G4    4249.326     39  8576.652     8579.003     8780.246
278  GTR+F+R2      4249.119     39  8576.237     8578.589     8779.832
279  GTR+F+R3      4249.119     41  8580.237     8582.837     8794.273
Akaike Information Criterion:           TVMe+I
Corrected Akaike Information Criterion: TVMe+I
Bayesian Information Criterion:         TVMe
Best-fit model: TVMe chosen according to BIC

All model information printed to fasta_15.nxs.model.gz
CPU time for ModelFinder: 1.938 seconds (0h:0m:1s)
Wall-clock time for ModelFinder: 2.281 seconds (0h:0m:2s)
Generating 1000 samples for ultrafast bootstrap (seed: 570929)...

NOTE: 1 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -4354.758
2. Current log-likelihood: -4254.327
Optimal log-likelihood: -4254.232
Rate parameters:  A-C: 1.33135  A-G: 5.69364  A-T: 1.15818  C-G: 2.61956  C-T: 5.69364  G-T: 1.00000
Base frequencies:  A: 0.250  C: 0.250  G: 0.250  T: 0.250
Parameters optimization took 2 rounds (0.014 sec)
Computing ML distances based on estimated model parameters... 0.000 sec
Computing BIONJ tree...
0.011 seconds
Log-likelihood of BIONJ tree: -4258.106
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.220 second
Computing log-likelihood of 98 initial trees ... 0.269 seconds
Current best score: -4254.232

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -4254.230
UPDATE BEST LOG-LIKELIHOOD: -4254.229
UPDATE BEST LOG-LIKELIHOOD: -4254.229
UPDATE BEST LOG-LIKELIHOOD: -4254.229
UPDATE BEST LOG-LIKELIHOOD: -4254.229
Iteration 10 / LogL: -4254.229 / Time: 0h:0m:0s
UPDATE BEST LOG-LIKELIHOOD: -4254.229
UPDATE BEST LOG-LIKELIHOOD: -4254.229
Iteration 20 / LogL: -4254.238 / Time: 0h:0m:1s
Finish initializing candidate tree set (1)
Current best tree score: -4254.229 / CPU time: 0.980
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
UPDATE BEST LOG-LIKELIHOOD: -4254.229
Iteration 30 / LogL: -4254.230 / Time: 0h:0m:1s (0h:0m:3s left)
Iteration 40 / LogL: -4254.233 / Time: 0h:0m:2s (0h:0m:3s left)
Iteration 50 / LogL: -4254.319 / Time: 0h:0m:2s (0h:0m:2s left)
Log-likelihood cutoff on original alignment: -4291.176
Iteration 60 / LogL: -4254.232 / Time: 0h:0m:2s (0h:0m:1s left)
Iteration 70 / LogL: -4254.229 / Time: 0h:0m:2s (0h:0m:1s left)
Iteration 80 / LogL: -4254.229 / Time: 0h:0m:3s (0h:0m:0s left)
Iteration 90 / LogL: -4254.229 / Time: 0h:0m:3s (0h:0m:0s left)
Iteration 100 / LogL: -4254.229 / Time: 0h:0m:3s (0h:0m:0s left)
Log-likelihood cutoff on original alignment: -4291.176
NOTE: Bootstrap correlation coefficient of split occurrence frequencies: 0.999
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:3s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -4254.229
Optimal log-likelihood: -4254.228
Rate parameters:  A-C: 1.33477  A-G: 5.70178  A-T: 1.16074  C-G: 2.62994  C-T: 5.70178  G-T: 1.00000
Base frequencies:  A: 0.250  C: 0.250  G: 0.250  T: 0.250
Parameters optimization took 1 rounds (0.003 sec)
BEST SCORE FOUND : -4254.228
Creating bootstrap support values...
Split supports printed to NEXUS file fasta_15.nxs.splits.nex
Total tree length: 0.434

Total number of iterations: 102
CPU time used for tree search: 3.562 sec (0h:0m:3s)
Wall-clock time used for tree search: 3.778 sec (0h:0m:3s)
Total CPU time used: 3.719 sec (0h:0m:3s)
Total wall-clock time used: 4.014 sec (0h:0m:4s)

Computing bootstrap consensus tree...
Reading input file fasta_15.nxs.splits.nex...
16 taxa and 59 splits.
Consensus tree written to fasta_15.nxs.contree
Reading input trees file fasta_15.nxs.contree
Log-likelihood of consensus tree: -4254.229

Analysis results written to: 
  IQ-TREE report:                fasta_15.nxs.iqtree
  Maximum-likelihood tree:       fasta_15.nxs.treefile
  Likelihood distances:          fasta_15.nxs.mldist

Ultrafast bootstrap approximation results written to:
  Split support values:          fasta_15.nxs.splits.nex
  Consensus tree:                fasta_15.nxs.contree
  Screen log file:               fasta_15.nxs.log

Date and Time: Fri Apr 26 10:59:35 2019
